chain,bound_reduction_%,mu_reduction_%
avalanche,97.39,27.29
celestia,16.47,21.35
cosmoshub,45.3,27.46
injective,3.21,20.28
near,74.99,27.44
osmosis,13.07,20.62
sei,0.54,16.02
solana,98.56,28.12
sui,16.98,16.66
tezos,69.92,28.85
